#options: 1280x720 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=12 lookahead_threads=4 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=1280 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:33.83 aq:31.60 tex:545341 mv:120800 misc:6155 imb:3600 pmb:0 smb:0 d:- ref:;
in:4 out:1 type:P dur:2 cpbdur:2 q:35.77 aq:33.61 tex:217697 mv:26734 misc:1409 imb:1360 pmb:1787 smb:453 d:- ref:0 ;
in:2 out:2 type:B dur:2 cpbdur:2 q:35.77 aq:35.37 tex:76068 mv:30367 misc:3077 imb:240 pmb:1957 smb:1403 d:- ref:0 ;
in:1 out:3 type:b dur:2 cpbdur:2 q:35.77 aq:37.10 tex:18908 mv:19413 misc:3295 imb:105 pmb:1391 smb:2104 d:- ref:0 ;
in:3 out:4 type:b dur:2 cpbdur:2 q:35.77 aq:37.93 tex:16181 mv:10797 misc:3118 imb:28 pmb:1178 smb:2394 d:- ref:0 ;
in:8 out:5 type:P dur:2 cpbdur:2 q:36.43 aq:34.58 tex:178310 mv:25839 misc:1771 imb:955 pmb:1934 smb:711 d:- ref:0 ;
in:6 out:6 type:B dur:2 cpbdur:2 q:36.10 aq:36.08 tex:82917 mv:28644 misc:2863 imb:206 pmb:1952 smb:1442 d:- ref:0 ;
in:5 out:7 type:b dur:2 cpbdur:2 q:35.94 aq:37.23 tex:25687 mv:18760 misc:3025 imb:153 pmb:1338 smb:2109 d:- ref:0 ;
in:7 out:8 type:b dur:2 cpbdur:2 q:36.27 aq:38.07 tex:14029 mv:14330 misc:2849 imb:42 pmb:1090 smb:2468 d:- ref:0 ;
in:12 out:9 type:P dur:2 cpbdur:2 q:36.92 aq:36.82 tex:243678 mv:23250 misc:1096 imb:2618 pmb:633 smb:349 d:- ref:0 ;
in:10 out:10 type:B dur:2 cpbdur:2 q:36.68 aq:36.11 tex:42678 mv:21713 misc:3289 imb:251 pmb:1766 smb:1583 d:- ref:0 ;
in:9 out:11 type:b dur:2 cpbdur:2 q:36.56 aq:38.52 tex:11210 mv:10383 misc:2911 imb:24 pmb:1055 smb:2521 d:- ref:0 ;
in:11 out:12 type:b dur:2 cpbdur:2 q:36.80 aq:37.43 tex:50505 mv:19302 misc:3089 imb:363 pmb:1390 smb:1847 d:- ref:0 ;
in:16 out:13 type:P dur:2 cpbdur:2 q:44.92 aq:42.84 tex:71430 mv:16291 misc:1311 imb:2803 pmb:258 smb:539 d:- ref:0 ;
in:14 out:14 type:B dur:2 cpbdur:2 q:40.92 aq:41.35 tex:36862 mv:18406 misc:3220 imb:793 pmb:1216 smb:1591 d:- ref:0 ;
